ID	Cruise	Station	yyyy-mm-ddThh:mm:ss	Longitude	Latitude	year	month	day	hour	mins	sec
s980917w_103883	s980917w	103883	1998-09-17T13:46:48	-66.3078	43.7736	1998	9	17	13	46	48
s980917w_103884	s980917w	103884	1998-09-17T13:47:13	-66.3102	43.7732	1998	9	17	13	47	13
s980917w_103885	s980917w	103885	1998-09-17T13:47:35	-66.3124	43.7729	1998	9	17	13	47	35
s980917w_103886	s980917w	103886	1998-09-17T13:47:56	-66.3147	43.7724	1998	9	17	13	47	56
s101012e_144471	s101012e	144471	2010-10-12T14:59:51	-68.9959	44.0526	2010	10	12	14	59	51
s101012e_144472	s101012e	144472	2010-10-12T15:01:55	-68.9913	44.0504	2010	10	12	15	1	55
s101012e_144473	s101012e	144473	2010-10-12T15:03:59	-68.9858	44.0477	2010	10	12	15	3	59
s181205e_2018083.1	s181205e	2018083.1	2018-12-05T04:22:00	-68.44446667	43.4771	2018	12	5	4	22	0
s181206w_2018084.1	s181206w	2018084.1	2018-12-06T10:48:00	-67.15023333	43.72453333	2018	12	6	10	48	0
s181206w_2018085.1	s181206w	2018085.1	2018-12-06T12:22:00	-67.4717	43.70553333	2018	12	6	12	22	0
